"","Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"","Daily tourist arrivals, 01st to 31st January 2025","","","",""
"","1st","8th","","",""
"","","","15th","22nd",""
"","","","","",""
"","6,879","8,333","8,196","7,516","29th  7,383"
"J","2nd","9th","","",""
"","","","16th  8,050","23rd 8,091",""
"","9,391","7,756","","","30th  7,790"
"A","","","","",""
"","3rd","10th","17th","",""
"","","","","24th","31st"
"","","","","",""
"N","8,974","8,477","8,710","9,788","8,376"
"U","","","","",""
"","4th","11th","18th","",""
"","6,990","8,373","8,322","25th 9,224",""
"A","","","","",""
"","5th","12th","","26th",""
"","","","","",""
"R","","","19th","",""
"","7,180","8,219","8,069","8,332",""
"Y","","","","",""
"","6th","13th","20th","27th",""
"","8,065","8,715","8,511","8,769",""
"","7th","14th","21st","",""
"","7,372","7,687","7,615","28th  7,608",""
"","1st to 7th","8th to 14th","","22nd to 28th","29th to 31st"
"","","","15th to 21st","",""
"Total","","","","",""
"","54,851","57,560","","","23,549"
"","","","57,473","59,328",""
