"","Sri Lanka  Tourism Development Authority - Weekly Report","",""
"Top ten source markets, 01st to 31st July  2023","","",""
"","","Number of",""
"Rank","Country","",""
"","","","Share %"
"","","Tourists",""
"1","I
ndia","23,461","16%"
"2","U
nited Kingdom","17,482","12%"
"3","C
hina","10,062","7%"
"4","G
ermany","8,013","6%"
"5","R","8,009","6%"
"","ussian Federation","",""
"6","F
rance","7,432","5%"
"7","N","6,796","5%"
"","etherlands","",""
"8","M
aldives","6,286","4%"
"9","C
anada","5,737","4%"
"10","A
ustralia","5,323","4%"
"","O","","31%"
"11","ther","44,438",""
"","Total","143,039","100.00"
