"Rank","Country","Number of tourists"
"1","India",""
"","","157,059"
"2","Russian Federation",""
"","","107,093"
"3","United Kingdom",""
"","","87,053"
"4","Germany",""
"","","61,855"
"5","France",""
"","","51,642"
"6","China",""
"","","48,180"
"7","Australia",""
"","","38,097"
"8","United States",""
"","","25,384"
"9","Poland",""
"","","23,863"
"10","Netherlands",""
"","","21,387"
"11","Bangladesh",""
"","","20,029"
"12","Canada",""
"","","16,465"
"13","Italy",""
"","","16,050"
"14","Switzerland",""
"","","12,569"
"15","Japan",""
"","","12,240"
"16","Spain",""
"","","10,916"
"17","Maldives",""
"","","10,290"
"18","Czech Republic",""
"","","9,617"
"19","Israel",""
"","","9,579"
"20","Denmark",""
"","","8,150"
"","Others",""
"","","149,366"
