"","Sri Lanka Tourism Development Authority - Weekly Report","",""
"","Daily tourist arrivals, 01st to 28th February 2025","",""
"","1st","8th",""
"","","","22nd  
15th"
"","9,099","9,174","9,040 
10,815"
"F","2nd","9th",""
"","9,096","8,837","16th  7,942 
23rd 8,738"
"E","","",""
"","3rd","10th","17th"
"","","","24th"
"B","9,974","9,300","9,323 
8,851"
"R","","",""
"","4th","11th","18th"
"","","","25th"
"","7,897","7,730","7,964 
6,569"
"U","","",""
"","5th","12th","26th"
"","","",""
"A","","","19th"
"","8,224","7,836","8,003 
6,450"
"R","","",""
"","6th","13th","20th  
27th"
"","","",""
"Y","8,236","10,497","8,333 
6,482"
"","7th","14th","21st"
"","9,138","9,789","9,001 
28th  7,879"
"","1st to 7th","8th to 14th","22nd to 28th   
15th to 21st"
"Total","","",""
"","61,664","63,163","59,606"
"","","","55,784"
"","","","6"
