"","Sri Lanka Tourism Development Authority - Weekly Report","","","","","",""
"","Daily tourist arrivals, 01st to 31st March 2024","","","","","",""
"","","","March","","","",""
"","","","","","","","Total"
"1","","","","5","","7","(1st to 7th)"
"","2","3","4","","6","6,344","47,221"
"6,878","8,085","6,704","7,124","5,832","6,254","",""
"8","9","","","","","","(8th  to 14th)"
"","","10","11","12","13","14",""
"6,721","6,780","6,393","6,348","5,680","6,141","5,920","43,983"
"6,721","","","","","","",""
"","","","","","","","(15th to 21st)"
"15","16","17","18","19","20","21",""
"","","","","","","",""
"6,145","7,068","6,866","7,873","5,697","6,831","7,492","47,972"
"","","","","","","","(22nd to 28th)"
"22","23","24","25","26","27","28",""
"7,268","8,534","8,073","6,782","5,834","6,205","7,621","50,317"
"","","","6,782","","","",""
"","","","","","","","(29th to 31st)"
"29","30","31","","","","",""
"6,150","8,129","5,409","","","","","19,688"
