"Sri Lanka Tourism Development Authority - Weekly Report","","","","",""
"Top ten source markets, 01st to 30th June 2024","","","","",""
"","","","","Number of",""
"Rank","","","Country","",""
"","","","","","Share %"
"","","","","Tourists",""
"1","I","ndia","","",""
"","","","","28,631","25.2%"
"2","U","nited Kingdom","","",""
"","","","","9,266","8.2%"
"3","C","hina","","",""
"","","","","8,575","7.6%"
"4","A","ustralia","","",""
"","","","","6,317","5.6%"
"5","M","aldives","","",""
"","","","","5,109","4.5%"
"6","G","ermany","","",""
"","","","","4,556","4.0%"
"7","B","angladesh","","4,374","3.9%"
"8","U","nited States","","",""
"","","","","4,023","3.5%"
"9","R","ussian Federation","","",""
"","","","","3,412","3.0%"
"10","C","","","",""
"","","anada","","3,263","2.9%"
"","O","","","35,944","31.7%"
"11","","ther","","",""
"","T","","","",""
"","","otal","","113,470",""
