"","Country","",""
"Rank","","","Number of Tourists"
"1","I
ndia","",""
"","","","184,468"
"2","R","ussian Federation",""
"","","","114,104"
"3","U","nited Kingdom",""
"","","","89,352"
"4","G","ermany",""
"","","","70,070"
"5","C","hina",""
"","","","63,816"
"6","F","rance",""
"","","","49,340"
"7","A","ustralia",""
"","","","40,746"
"8","U","nited States",""
"","","","32,717"
"9","P","oland",""
"","","","23,896"
"10","M","aldives",""
"","","","23,803"
"11","C","anada",""
"","","","22,223"
"12","N","etherlands",""
"","","","19,466"
"13","B","angladesh",""
"","","","15,632"
"14","I
taly","","14,228"
"15","S","witzerland",""
"","","","13,554"
"16","C","zech Republic","12,443"
"","J","apan",""
"17","","","12,430"
"","S","pain",""
"18","","","12,362"
"","Israel","",""
"19","","","11,163"
"","M","alaysia",""
"20","","","8,932"
"","O","thers",""
"","","","175,504"
