"Sri Lanka Tourism Development Authority - Weekly Report","","",""
"Top ten source markets, 01st to 31st August 2024","","",""
"","","Number of",""
"Rank","Country","",""
"","","","Share %"
"","","Tourists",""
"1","I
ndia","","20.1%"
"","","33,031",""
"2","U
nited Kingdom","","10.7%"
"","","17,587",""
"3","C","","6.9%"
"","hina","11,333",""
"4","G
ermany","","6.5%"
"","","10,623",""
"5","I","","5.8%"
"","","9,586",""
"","taly","",""
"6","F
rance","","5.2%"
"","","8,596",""
"7","S
pain","","4.4%"
"","","7,262",""
"8","A","","4.1%"
"","ustralia","6,687",""
"9","N","","3.3%"
"","etherlands","5,355",""
"10","R","","2.6%"
"","","4,351",""
"","ussian Federation","",""
"","O","","30.5%"
"","ther","50,198",""
"11","","",""
"","T
otal","164,609",""
