"","Sri Lanka Tourism Development Authority - Weekly Report","","","","","",""
"","Daily tourist arrivals, 01st to 31st August 2024","","","","","",""
"","","","August","","","",""
"","","","","","","","Total"
"","","","","5","","","1st to 07th"
"1","2","3","4","","6","7",""
"","","","","","","","46,617"
"6,751","6,593","7,191","6,354","6,486","6,844","6,398",""
"8","","","","","","","8th to 14th"
"","9","10","11","12","13","14",""
"6,533","6,621","7,200","6,402","5,850","5,689","6,721","45,016"
"","","","","","","6,722",""
"6,721","","","","","","",""
"","","","6,402","","","",""
"","","","","","","","15th to 21st"
"15","16","17","18","","20","21",""
"","","","","19","","",""
"","","","","","","","35,338"
"6,986","5,275","5,265","4,525","4,139","4,525","4,623",""
"","","3,658","","","","",""
"","","","","","","","22nd to 28th"
"","","","","","","28",""
"22","23","24","25","26","27","","26,329"
"4,624","4,242","4,089","3,694","3501","3375","2804",""
"","","","6,782","","33","",""
"","","","","","","","29th to 31st"
"","30","","","","","",""
"29","","31","","","","",""
"","3,842","","","","","","11,309"
"3,649","","3,818","","","","",""
