"Rank","Country","","Number of Tourists"
"1","I","ndia","258,672"
"2","U","","127,776"
"","","nited Kingdom",""
"3","R","ussian Federation","123,033"
"4","G","ermany","91,311"
"5","C","hina","88,189"
"6","F","rance","67,341"
"7","A","ustralia","54,804"
"8","U","nited States","41,218"
"9","N","","36,252"
"","","etherlands",""
"10","C","anada","30,912"
"11","M","aldives","30,098"
"12","P","","28,393"
"","","oland",""
"13","I","taly","27,444"
"14","B","angladesh","24,116"
"15","S","pain","23,848"
"16","S","witzerland","20,499"
"","J","apan","18,734"
"17","","",""
"","I","srael",""
"18","","","17,373"
"19","C","zech Republic","14,398"
"","M","alaysia","12,099"
"20","","",""
"","O","thers","226,158"
