"Rank","C","","Number of Tourists"
"","","ountry",""
"1","I","ndia","416,974"
"2","R","","201,920"
"","","ussian Federation",""
"3","U","nited Kingdom","178,339"
"","","","113,687"
"4","G","ermany","136,084"
"","","","90,517"
"5","C","hina","131,681"
"6","A","ustralia","89,573"
"7","F","rance","88,772"
"8","U","nited States","59,532"
"9","N","","50,116"
"","","etherlands",""
"10","M","aldives","47,222"
"11","P","oland","44,165"
"","","","31,024"
"12","C","","42,212"
"","","anada",""
"13","B","angladesh","39,555"
"14","I","taly","38,709"
"15","S","pain","37,928"
"16","J","apan","30,429"
"","S","witzerland","29,829"
"17","","",""
"18","I","srael","24,845"
"19","C","zech Republic","19,279"
"","M","alaysia","18,259"
"20","","",""
"","O","thers","328,042"
