"","Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"","Daily tourist arrivals, 01st to 30th June 2025","","","",""
"","1st","8th","","",""
"","","","15th","22nd",""
"","3,898","4,535","4,069","5,076","29th  5,101"
"","2nd","9th","","",""
"","","","16th  3,678","23rd 5,083",""
"","3,752","3,911","","","30th  5,042"
"","3rd","10th","17th","",""
"","","","","",""
"J","4,064","3,969","3,533","24th 
4,993",""
"U","","","","",""
"","4th","11th","18th","",""
"","4,158","3,551","3,503","25th 5,807",""
"N","","","","",""
"","","","","",""
"E","5th","12th","19th","26th",""
"","5,421","4,014","4,098","7,100",""
"","6th","13th","20th","27th",""
"","5,211","4,122","4,836","6,012",""
"","7th","14th","21st","",""
"","5,043","4,138","4,906","28th  5,617",""
"","1st to 7th","8th to 14th","15th to 21st","22nd to 28th","29th to 30th"
"Total","","","","",""
"","31,547","28,240","28,623","39,688","10,143"
