"","Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"","Daily tourist arrivals, 01st to 31st March 2025","","","",""
"","1st","8th","","",""
"","","","15th","22nd",""
"","","","","",""
"","7,667","9,073","7,778","7,479","29th  8,259"
"","","9th","","",""
"M","2nd","","","",""
"","","","16th  7,752","23rd 7,627",""
"","8,375","8,263","","","30th  7,143"
"A","","","","",""
"","3rd","10th","17th","",""
"","","","","24th","31st"
"","8,187","7,439","8,002","7,058",""
"","","","","",""
"R","","","","","6,284"
"C","4th","11th","18th","",""
"","6,595","6,127","6,589","25th 5,789",""
"H","","","","",""
"","5th","12th","","26th",""
"","","","19th","",""
"","6,945","6,383","6,594","6,819",""
"","6th","13th","20th","27th",""
"","7,311","7,457","6,516","7,010",""
"","7th","14th","21st","",""
"","8,033","7,897","8,228","28th  8,619",""
"","1st to 7th","","","",""
"","","8th to 14th","15th to 21st","22nd to 28th","29th to 31st"
"Total","","","","",""
"","53,113","","","",""
"","","52,639","51,459","50,401",""
"","","","","","21,686"
