"","Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"","Daily tourist arrivals, 01st to 31st May 2025","","","",""
"","1st","8th","","",""
"","","","15th","22nd",""
"","6,311","3,961","4,021","4,124","29th  3,953"
"","2nd","9th","","",""
"","","","16th  4,494","23rd 4,803",""
"","5,505","4,594","","","30th  4,528"
"","3rd","10th","17th","",""
"","","","","",""
"M","","4,495","4,364","24th","31st  4,318"
"","4,591","","","4,314",""
"A","","","","",""
"","4th","11th","18th","",""
"","4,115","5,864","4,214","25th 4,186",""
"y","","","","",""
"","5th","12th","","26th",""
"","","","19th","",""
"","4,246","3,377","4,071","3,768",""
"","6th","13th","20th","27th",""
"","4,248","3,553","3,767","3,504",""
"","7th","14th","21st","",""
"","4,895","3,573","3,526","28th  3,636",""
"","1st to 7th","","","",""
"","","8th to 14th","15th to 21st","22nd to 28th","29th to 31st"
"Total","","","","",""
"","33,911","29,417","28,457","28,335","12,799"
