"","Sri Lanka Tourism Development Authority - Weekly Report","","","","","",""
"","Daily tourist arrivals, 01st to 31st July 2024","","","","","",""
"","","","July","","","",""
"","","","","","","","Total"
"","","","","5","","","11st to   7th"
"1","2","3","4","","6","7",""
"5,135","","","","","7,550","7,518","43,203"
"","5,047","4,886","6,232","6,835","","",""
"8","","","","","","","8th to 14th"
"","9","","","12","","14",""
"","","10","11","","13","",""
"","","","","","","",""
"6,937","5,953","5,014","6,040","5,926","6,021","6,549","42,440"
"6,721","","","","","","",""
"","","","","","","","15th to 21st"
"15","16","17","18","19","20","21",""
"5,970","5,418","6,296","6,383","6,406","6,335","5,841","42,649"
"","","","6,337","","","",""
"","","3,658","","","","",""
"","","","","","","","22nd to 28th"
"22","23","24","25","26","27","28",""
"6,293","5,729","5,994","6,332","6,235","6,135","6,082","42,800"
"","","","","","","","29th to 31st"
"29","30","31","","","","",""
"6,209","5,565","4,944","","","","","16,718"
