"Rank","Country","","Number of Tourists"
"1","I","ndia",""
"","","","225,641"
"2","R","ussian Federation",""
"","","","118,682"
"3","U","nited Kingdom",""
"","","","110,189"
"4","G","ermany",""
"","","","80,688"
"5","C","hina",""
"","","","76,856"
"6","F","rance",""
"","","","58,745"
"7","A","ustralia",""
"","","","48,117"
"8","U","nited States",""
"","","","37,679"
"9","N","etherlands",""
"","","","30,897"
"10","C","anada",""
"","","","27,044"
"11","M","aldives",""
"","","","26,900"
"12","P","oland",""
"","","","26,153"
"13","B","angladesh",""
"","","","20,239"
"14","S","witzerland","18,643"
"15","I","taly",""
"","","","17,858"
"16","S","pain","16,586"
"","J","apan",""
"17","","","14,632"
"","I","srael",""
"18","","","14,125"
"19","C","zech Republic","13,576"
"","M","alaysia",""
"20","","","10,528"
"","O","thers","204,281"
