"Rank","Country","Number of Tourists"
"1","I
ndia","364,093"
"2","R","166,652"
"","ussian Federation",""
"3","U
nited Kingdom","159,582"
"4","G","121,381"
"","ermany",""
"5","C","113,270"
"","hina",""
"6","F","82,440"
"","rance",""
"7","A","76,464"
"","ustralia",""
"8","U","51,320"
"","nited States",""
"9","N","46,223"
"","etherlands",""
"","M","40,319"
"10","aldives",""
"","C","38,431"
"11","anada",""
"","","37,932"
"12","P",""
"","oland",""
"","B","35,401"
"13","angladesh",""
"","S","35,127"
"14","pain",""
"","I","33,014"
"15","taly",""
"","Japan","26,830"
"16","",""
"","S","26,583"
"","witzerland",""
"17","",""
"","I
srael","22,791"
"18","",""
"","C","16,980"
"19","zech Republic",""
"","M","16,533"
"","alaysia",""
"20","",""
"","O
thers","293,507"
