"","","Sri Lanka Tourism Development Authority - Weekly Report","","","","",""
"","Daily tourist arrivals, 01st to 30th November 2023","","","","","",""
"","","","","","","November 2023",""
"","02","03","","","","","TOTAL"
"01","","","04","05","06","07",""
"","","","","","","","(1st to 7th)"
"4,564","4,292","4,465","4,408","4,473","4,300","3,892",""
"","","","","","","","30,394"
"","09","","","","13","14","TOTAL"
"08","","10","11","12","","",""
"","","","","","","","(8th to 14th)"
"","6,496","","","","7,520","6, 390",""
"4,163","","4,361","5,086","4,995","","",""
"","","","","","","","39,011"
"‘","","","","19","20","21","TOTAL"
"15","16","17","18","","","",""
"","","","","","","","(15th to 21st)"
"","","","","5,484","7,065","4,578",""
"5,259","5,304","5,129","5,748","","","",""
"","","","","","","","38,567"
"","","","","26","","28","TOTAL"
"22","23","24","25","","27","",""
"","","","","","","","(22nd to 30th)"
"4,939","4,687","5,064","5,128","4,941","4,972","3,795",""
"","","","","","","","43,524"
"29","30","","","","","",""
"5,316","4,682","","","","","",""
