"","Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"","Daily tourist arrivals, 01st to 30th September 2025","","","",""
"","1st","8th","","",""
"","","","15th","22nd",""
"","","","","",""
"","5,278","4,936","5,029","4,614","29th  4,959"
"S","","","","",""
"","2nd","9th","","",""
"e","","","16th  5,380","23rd 5,379",""
"","5,414","5,098","","","30th  5,339"
"p","","","","",""
"","3rd","10th","17th","",""
"","","","","24th",""
"","4,796","4,716","4,625","4,561",""
"t","","","","",""
"","","","","",""
"e","4th","11th","18th","",""
"","5,940","5,495","5,447","25th 4,666",""
"m","","","","",""
"","5th","12th","","26th",""
"","","","19th","",""
"","","","","",""
"b","5,596","6,080","5,389","5,891",""
"e","","","","",""
"","6th","13th","20th","27th",""
"","5,222","5,953","5,954","6,150",""
"r","","","","",""
"","","","21st","",""
"","7th","14th  5,585","","",""
"","5,249","","4,642","28th  5,588",""
"","1st to 7th","8th to 14th","15th to 21st","22nd to 28th","29th to 30th"
"Total","","","","",""
"","37,495","37,863","36,466","36,849","10,298"
