"Rank","Country","","Number of Tourists"
"1","I","ndia","286,556"
"2","U","","136,464"
"","","nited Kingdom",""
"3","R","ussian Federation","127,232"
"4","G","ermany","99,571"
"","","","90,517"
"5","C","hina","97,267"
"6","F","rance","71,090"
"7","A","ustralia","62,004"
"8","U","nited States","43,678"
"9","N","","39,977"
"","","etherlands",""
"10","M","aldives","34,457"
"11","C","anada","33,007"
"12","P","","30,636"
"","","oland",""
"13","I","taly","29,346"
"14","B","angladesh","28,294"
"15","S","pain","28,014"
"","","","21,937"
"16","S","witzerland","22,277"
"","J","apan","22,260"
"17","","",""
"","I","srael",""
"18","","","20,515"
"19","C","zech Republic","14,894"
"","M","alaysia","14,053"
"20","","",""
"","O","thers","243,216"
