"","","","","","","1st to 07th"
"1","2","3","4","5","6","7"
"","","","","","","29,239"
"3,877","","4,246","4,868","3,779","4,050","4,116"
"","4,303","","","","",""
"8","9","","","","","8th to 14th"
"","","10","","12","13","14"
"","","","11","","",""
"","","","","","","30,057"
"3,866","4,076","","","","",""
"6","","4,176","3,619","4,228","5,338","4,754"
"","","","6,","","",""
"","","","","","","15th to 21st"
"15","16","17","18","","20","21"
"","","","","19","",""
"","","","","","","26,070"
"","3,860","3,863","3,099","","4,042","3,987"
"3,658","","","","3,561","",""
"3","","3,658","","","",""
