"Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"Top ten source markets, 01st to 31st May 2024","","","",""
"","","","Number of",""
"Rank","","Country","",""
"","","","","Share %"
"","","","Tourists",""
"1","I","ndia","",""
"","","","32,254","28.8%"
"2","U","nited Kingdom","8,094",""
"","","","","7.2%"
"3","M","aldives","8,040",""
"","","","","7.2%"
"4","C","hina","7,511",""
"","","","","6.7%"
"5","G","","7,495",""
"","","ermany","","6.7%"
"6","A","ustralia","5,465",""
"","","","","4.9%"
"7","R","","4,384",""
"","","ussian Federation","","3.9%"
"8","U","nited States","4,082",""
"","","","","3.6%"
"9","F","rance","4,064",""
"","","","","3.6%"
"10","C","","3,294",""
"","","anada","","2.9%"
"","O","","","24.5%"
"11","","ther","27,445",""
"","T","","",""
"","","otal","112,128",""
