"","Sri Lanka Tourism Development Authority - Weekly Report","","","",""
"","Daily tourist arrivals, 01st to 31st July 2025","","","",""
"","1st","8th","","",""
"","","","15th","22nd",""
"","","","","",""
"","5,335","6,067","6,456","6,312","29th  6,387"
"","2nd","9th","","",""
"","","","16th  5,814","23rd 5,912",""
"","5,046","5,047","","","30th  6,070"
"","3rd","10th","17th","",""
"","","","","",""
"J","6,640","6,322","6,795","24th 
6,930","31st"
"","","","","","7,140"
"U","","","","",""
"","4th","11th","18th","",""
"","6,325","6,722","6,944","25th 7,521",""
"L","","","","",""
"","","","","",""
"Y","5th","12th","19th","26th",""
"","6,775","6,952","7,167","7,579",""
"","6th","13th","20th","27th",""
"","5,881","6,428","6,337","6,692",""
"","7th","14th","21st","",""
"","6,231","6,724","6,956","28th  6,737",""
"","1st to 7th","","","",""
"","","8th to 14th","15th to 21st","22nd to 28th","29th to 31st"
"Total","","","","",""
"","42,233","44,262","","","19,597"
"","","","46,469","47,683",""
