"","Sri Lanka Tourism Development Authority - Weekly Report","","","","","",""
"","Daily tourist arrivals, 01st to 31st May 2024","","","","","",""
"","","","May","","","",""
"","","","","","","","Total"
"","","","","5","","","(1st to 7th)"
"1
 
5,119","2
 
4,348","3
 
4,090","4","","6
 
3,646","7
 
2,836","28,526"
"","","","4,105","4,382","","",""
"8","9","","","","","","(8th to 14th)"
"","","10","11","12","13","14",""
"","","","","","","",""
"3,106 
6,721","3,583","3,980","3,648","3,199","3,125","3,072","23,713"
"","","","","","","","(15thto 21st)"
"15","16","17","18","19","20","21",""
"5,781","3,699","4,005","3,997","3,191","3,434","3,085","27,192"
"","","3,658","","","","",""
"","","","","","","","(22nd to 28th)"
"22","23","24","25","26","27","28",""
"","","","","","3,140","2,639","14th)h) 
23,238"
"2,750","3,554","4,180","3,842","3,133","","",""
"","","","6,782","","","",""
"","","","","","","","(29th
 to 31st)"
"29","30","","","","","",""
"","","31","","","","",""
"","","","","","","",""
"2,739","3,257","3,463","","","","","9,459"
