"","Country","",""
"Rank","","","Number of Tourists"
"1","I","ndia",""
"","","","155,837"
"2","R","ussian Federation",""
"","","","110,692"
"3","U","nited Kingdom",""
"","","","80,086"
"4","G","ermany",""
"","","","65,514"
"5","C","hina",""
"","","","55,241"
"6","F","rance",""
"","","","46,238"
"7","A","ustralia",""
"","","","34,429"
"8","U","nited States",""
"","","","28,694"
"9","P","oland",""
"","","","22,849"
"10","C","anada",""
"","","","18,960"
"11","M","aldives",""
"","","","18,694"
"12","N","etherlands",""
"","","","17,531"
"13","I","taly",""
"","","","12,436"
"14","S","witzerland","12,263"
"15","C","zech Republic",""
"","","","11,917"
"","B","angladesh",""
"16","","","11,258"
"","J","apan",""
"17","","","10,764"
"","S","pain",""
"18","","","10,281"
"","Israel","",""
"19","","","9,648"
"","K","azakhstan",""
"20","","","8,515"
"","O","thers",""
"","","","154,932"
"","T","OTAL","896,779"
