"","Sri Lanka Tourism Development Authority - Weekly Report","","","","","",""
"","Daily tourist arrivals, 01st to 30th April 2024","","","","","",""
"","","","April","","","",""
"","","","","","","","Total"
"1","2","","","5","","","(1st to 7th)"
"5,363","4,761","3
 
5,551","4
 
5,618","","6
 
7,157","7","39,797"
"","","","","6,174","","5,173",""
"8","9","","","","","","(8th to 14th)"
"","","10","11","12","13","14",""
"","","","","","","",""
"5,347 
6,721","5,394","5,281","6,582","5,200","5,256","3,411","36,471"
"","","","","","","","(15th to 21st)"
"15","16","17","18","19","20","21",""
"6,263","4,563","3,658","3,230","4,418","4,987","4,279","31,398"
"","","3,658","","","","",""
"","","","","","","","(22nd to 28th)"
"22","23","24","25","26","27","28",""
"4,495","3,977","4,166","4,390","4,899","5,372","4,091","31,390"
"","","","","","","","(29th to 30th)"
"29","30","","","","","",""
"5,757","4,054","","","","","","9,811"
