"","Country","Number of Tourists"
"Rank","",""
"1","I
ndia","123,583"
"2","R
ussian Federation",""
"","","106,308"
"3","U
nited Kingdom","71,992"
"4","G
ermany","58,019"
"5","C
hina","47,730"
"6","F
rance","42,174"
"7","A
ustralia","28,964"
"8","U
nited States",""
"","","24,612"
"9","P
oland","21,847"
"10","N
etherlands","15,686"
"11","C
anada","15,666"
"12","C
zech Republic","11,603"
"","","8,814"
"13","I
taly","11,426"
"14","S
witzerland","10,918"
"15","M
aldives","10,654"
"","J
apan",""
"16","","9,183"
"","S
pain","8,912"
"17","",""
"","K
azakhstan","8,450"
"18","",""
"","Bangladesh","8,380"
"19","",""
"","I
srael",""
"20","","8,142"
"","O
thers","140,402"
