"T","op ten source markets, April  2023","","",""
"","","","Number of",""
"","Rank","Country","",""
"","","","Tourists","Share %"
"","1","I
ndia","19,915","19%"
"","2","R
ussian Federation","14,656","14%"
"","3","U
nited Kingdom","8,743","8%"
"","4","G
ermany","7,404","7%"
"","5","France","5,535","5%"
"","6","C
hina","5,118","5%"
"","7","A
ustralia","4,996","5%"
"","8","U
nited States","3,940","4%"
"","9","C
anada","3,310","3%"
"","10","J
apan","2,318","2%"
"","11","O","","28%"
"","","ther","29,563",""
"","","Total","105,498","100.00"
