doc_type	doc_id	num	date_str	description	url_metadata	lang	url_pdf
lk_tourism_monthly_reports	2025-11-01-2025-11-01	2025-11-01	2025-11-01	Arrivals Report November 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Monthly_Tourits_Arrivals_Report-November-2025-Final.pdf
lk_tourism_monthly_reports	2025-10-01-2025-10-01	2025-10-01	2025-10-01	Arrivals Report October 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Monthly_Tourits_Arrivals_Report-October-2025-Final.pdf
lk_tourism_monthly_reports	2025-09-01-2025-09-01	2025-09-01	2025-09-01	Arrivals Report September 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Monthly_Tourits_Arrivals_Report-September-2025-Final.pdf
lk_tourism_monthly_reports	2025-08-01-2025-08-01	2025-08-01	2025-08-01	Arrivals Report August 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Monthly_Tourits_Arrivals_Report-August-2025-Final.pdf
lk_tourism_monthly_reports	2025-07-01-2025-07-01	2025-07-01	2025-07-01	Arrivals Report July 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/Monthly_Tourits_Arrivals_Report-July-2025-Final.pdf
lk_tourism_monthly_reports	2025-06-01-2025-06-01	2025-06-01	2025-06-01	Arrivals Report June 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-June-2025-Final.pdf
lk_tourism_monthly_reports	2025-05-01-2025-05-01	2025-05-01	2025-05-01	Arrivals Report May 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-May-2025-Final.pdf
lk_tourism_monthly_reports	2025-04-01-2025-04-01	2025-04-01	2025-04-01	Arrivals Report April 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-April-2025-Final.pdf
lk_tourism_monthly_reports	2025-03-01-2025-03-01	2025-03-01	2025-03-01	Arrivals Report March 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-March-2025-Final.pdf
lk_tourism_monthly_reports	2025-02-01-2025-02-01	2025-02-01	2025-02-01	Arrivals Report February 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-February-2025-Final.pdf
lk_tourism_monthly_reports	2025-01-01-2025-01-01	2025-01-01	2025-01-01	Arrivals Report January 2025	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2025	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-January-2025-Final.pdf
lk_tourism_monthly_reports	2024-12-01-2024-12-01	2024-12-01	2024-12-01	Arrivals Report December 2024	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2024	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-December-Final-2025-01-08.pdf
lk_tourism_monthly_reports	2024-11-01-2024-11-01	2024-11-01	2024-11-01	Arrivals Report November 2024	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2024	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReport-November-Final-2024-12-13.pdf
lk_tourism_monthly_reports	2024-10-01-2024-10-01	2024-10-01	2024-10-01	Arrivals Report October 2024	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2024	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReportOctober2024-11-12.pdf
lk_tourism_monthly_reports	2024-09-01-2024-09-01	2024-09-01	2024-09-01	Arrivals report September 2024	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2024	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReportSeptember2024-10-14.pdf
lk_tourism_monthly_reports	2024-08-01-2024-08-01	2024-08-01	2024-08-01	Arrivals report August 2024	https://www.sltda.gov.lk/en/monthly-tourist-arrivals-reports-2024	en	https://www.sltda.gov.lk/storage/common_media/MonthlyTouritsArrivalsReportAugust-Final-Update.pdf
