"","Sri Lanka Tourism  Development Authority  - Weekly Report","","","","","",""
"","Daily  tourist arrivals, 01st to 29th  February 2024","","","","","",""
"","","","February","","","",""
"","","","","","","","Total"
"","","","","5","","7","(1st to 7th)"
"1","2","3","4","8,282","6
 
7,007","8,579","52,361"
"6,862","6,765","7,785","7,081","","","",""
"8","9","","","","","","(8th to 14th)"
"","","10","11","12","13","14",""
"7,761","7,716","","","","","9,443","55,537"
"","","8,515","7,858","7,398","6,846","",""
"","","","","","","","(15th to 21st)"
"15","16","17","18","19","20","21",""
"7,432","7,460","8,083","7,862","7,587","6,553","7,289","52,266"
"","","","","","","","(22nd to 28th)"
"22","23","24","25","26","27","28",""
"","","","","","","","51,278"
"6,866","7,230","10,014","6,744","7,253","6,213","6,958",""
"","","","","","","","(29th)"
"29","","","","","","",""
"","","","","","","","6,908"
"6,908","","","","","","",""
