"","Country","Number  of Tourists"
"Rank","",""
"1","I
ndia","64,426"
"2","R
ussian Federation","63,189"
"3","U
nited Kingdom","37,279"
"4","G
ermany","29,852"
"5","C
hina","26,347"
"6","F
rance","22,422"
"7","P
oland","14,709"
"8","A
ustralia","12,910"
"9","U
nited States","11,421"
"1
0","N
etherlands","8,542"
"1
1","C
anada","8,038"
"1
2","C
zech Republic","7,336"
"1
3","I
taly","6,679"
"1
4","M","6,154"
"","aldives",""
"1
5","K
azakhstan","6,032"
"1
6","S
witzerland",""
"","","5,839"
"1","A
ustria","4,757"
"7","",""
"1
8","B
angladesh","4,718"
"1
9","D
enmark","4,702"
"2","J","4,659"
"0","apan",""
"","O
thers","76,592"
