"","","Country","Number of Tourists"
"Rank","","",""
"1","I","ndia","96,279"
"2","R","ussian Federation",""
"","","","91,205"
"3","U","nited Kingdom","58,819"
"4","G","ermany","48,176"
"5","C","hina","39,212"
"6","F","rance","33,382"
"7","A","ustralia","21,762"
"8","P","oland","19,498"
"9","U","nited States","19,038"
"10","N","etherlands","12,249"
"11","C","anada","12,072"
"12","C","zech Republic","10,324"
"","","","8,814"
"13","I","taly","9,181"
"14","S","witzerland","8,361"
"15","K","azakhstan","8,298"
"","M","aldives",""
"16","","","7,716"
"","J","apan","7,234"
"17","","",""
"","S","pain","6,746"
"18","","",""
"19","A","ustria","6,431"
"","D","enmark","6,199"
"20","","",""
"","O","thers","113,602"
